Fecha,Rótulo,Localidad,IDProvincia,Precio Gasolina 95 E5,Precio Gasoleo A
2026-04-14,H2EXAGON JINAMAR,TELDE,35,1.387,1.489
2026-04-14,DISA JINAMAR,JINAMAR,35,1.475,1.649
2026-04-14,BP CRUZ DE LA GALLINA LOMO LA FRANCIA,JINAMAR,35,1.459,1.649
2026-04-14,BP JINAMAR,JINAMAR,35,1.465,1.649
2026-04-14,BP LAS TERRAZAS,JINAMAR,35,1.465,1.649
2026-04-14,DISA LA PARDILLA,PARDILLA (LA),35,1.455,1.639
2026-04-14,DISA BOCABARRANCO,SAN ANTONIO,35,1.455,1.639
2026-04-14,OCÉANO,GARITA (LA),35,1.36,1.54
2026-04-14,BP LA GARITA,GARITA (LA),35,1.429,1.609
2026-04-14,DISA CUATRO PUERTAS,GORO (EL),35,1.475,1.649
2026-04-14,"CANARY OIL, S.L.",GORO (EL),35,1.339,1.48
2026-04-14,"CEPSA OPER CANARIOS S,L.",TELDE,35,1.439,1.629
2026-04-14,FAST FUEL GORO,TELDE,35,1.378,1.538
2026-04-14,CEPSA OJOS DE GARZA,TELDE,35,1.449,1.639
2026-04-14,PETROPRIX,EL CALERO-TELDE,35,1.379,1.489
2026-04-14,BP CRUCE DE MELENARA,EL CALERO-TELDE,35,1.465,1.649
2026-04-14,BP EL CALERO,EL CALERO-TELDE,35,1.465,1.649
2026-04-14,DISA TEROR,TEROR,35,1.505,1.669
2026-04-14,MOEVE,TEROR,35,1.469,1.649
2026-04-14,SPL,TIAS,35,1.469,1.639
2026-04-14,PCAN,TIAS,35,1.411,1.559
2026-04-14,CEPSA,PUERTO DEL CARMEN,35,1.409,1.599
2026-04-14,DISA PUERTO DEL CARMEN,PUERTO DEL CARMEN,35,1.469,1.599
2026-04-14,DISA MACHER,MACHER,35,1.429,1.589
2026-04-14,MOEVE TINAJO,TINAJO,35,1.449,1.619
2026-04-14,SANTANA DOMINGUEZ,TUINEJE,35,1.32,1.555
2026-04-14,CEPSA GRAN TARAJAL,GRAN TARAJAL,35,1.439,1.584
2026-04-14,DISA EL CARACOL,TARAJALEJO,35,1.475,1.599
2026-04-14,BP VALLESECO,VALLESECO,35,1.475,1.649
2026-04-14,CEPSA LOS ALMENDROS,VALSEQUILLO,35,1.439,1.569
2026-04-14,DISA ,VALSEQUILLO,35,1.439,1.634
2026-04-14,SHELL SAN MATEO,VEGA DE SAN MATEO,35,1.465,1.639
2026-04-14,REPSOL SAN MATEO,VEGA DE SAN MATEO,35,1.457,1.637
2026-04-14,REPSOL,YAIZA,35,1.455,1.705
